车辆id,停靠点,订单id,到达时间,离开时间,地点类型,到达载货量,载货变动量
V1,L1,,2017-01-06 07:00:00,2017-01-06 07:00:00,起点,0.0,
V1,L1,O6,2017-01-06 07:00:00,2017-01-06 08:00:00,取货,0.0,20.0
V1,L7,O6,2017-01-06 08:12:26,2017-01-06 09:12:26,送货,20.0,-20.0
V1,L1,O5,2017-01-06 09:24:52,2017-01-06 10:24:52,取货,0.0,10.0
V1,L1,O2,2017-01-06 10:24:52,2017-01-06 11:24:52,取货,10.0,4.0
V1,L1,O7,2017-01-06 11:24:52,2017-01-06 12:24:52,取货,14.0,10.0
V1,L6,O5,2017-01-06 12:44:53,2017-01-06 13:44:53,送货,24.0,-10.0
V1,L8,O7,2017-01-06 13:49:52,2017-01-06 14:49:52,送货,14.0,-10.0
V1,L3,O2,2017-01-06 15:00:00,2017-01-06 16:00:00,送货,4.0,-4.0
V1,L1,,2017-01-06 16:26:36,2017-01-06 16:26:36,终点,0.0,
V2,L1,,2017-01-06 07:00:00,2017-01-06 07:00:00,起点,0.0,
V2,L1,O1,2017-01-06 07:00:07,2017-01-06 08:00:07,取货,0.0,20.0
V2,L2,O1,2017-01-06 08:15:40,2017-01-06 09:15:40,送货,20.0,-20.0
V2,L2,O10,2017-01-06 09:15:40,2017-01-06 10:15:40,取货,0.0,2.0
V2,L1,O10,2017-01-06 10:31:13,2017-01-06 11:31:13,送货,2.0,-2.0
V2,L1,O9,2017-01-06 11:31:13,2017-01-06 12:31:13,取货,0.0,10.0
V2,L1,O3,2017-01-06 12:31:13,2017-01-06 13:31:13,取货,10.0,10.0
V2,L10,O9,2017-01-06 13:56:10,2017-01-06 14:56:10,送货,20.0,-10.0
V2,L4,O3,2017-01-06 15:00:00,2017-01-06 16:00:00,送货,10.0,-10.0
V2,L1,,2017-01-06 16:26:36,2017-01-06 16:26:36,终点,0.0,
V3,L1,,2017-01-06 07:00:00,2017-01-06 07:00:00,起点,0.0,
V3,L1,O4,2017-01-06 07:00:00,2017-01-06 08:00:00,取货,0.0,10.0
V3,L5,O4,2017-01-06 08:44:45,2017-01-06 09:44:45,送货,10.0,-10.0
V3,L1,O8,2017-01-06 10:29:30,2017-01-06 11:29:30,取货,0.0,10.0
V3,L9,O8,2017-01-06 11:52:29,2017-01-06 12:52:29,送货,10.0,-10.0
V3,L1,,2017-01-06 16:44:45,2017-01-06 16:44:45,终点,0.0,
